Stochastic,Momentum,Wiliams,ADI,EMA,MACD,RSI,OBV,BB_BBM,BB_BBH,BB_BBL,ATR
91.01912636,2098.935,-8.980873645,1418305.175,39766.78733,938.8194595,69.64516066,647806.9681,39391.4715,41486.06655,37296.87645,1107.697011
93.7234908,2463.033471,-6.276509204,1420765.622,39991.76635,991.4855208,70.34260878,651725.1487,39541.4795,41771.37839,37311.58061,1071.040082
79.43266055,2492.019765,-20.56733945,1420358.095,40103.40817,971.5875856,63.47505122,638861.1971,39634.4125,41915.69812,37353.12688,1149.751504
88.13614679,2379.628353,-11.86385321,1423641.64,40263.40975,982.7649004,66.17399719,645154.2559,39743.583,42122.82374,37364.34226,1156.221397
82.73522936,2244.815118,-17.26477064,1421290.326,40362.83112,956.8415442,63.06000479,641479.0512,39807.3905,42249.67829,37365.10271,1121.299154
62.75944954,2012.595647,-37.24055046,1415804.239,40303.83897,838.7807775,53.1060615,634805.3034,39855.986,42266.449,37445.523,1137.849215
70.91908257,1733.860471,-29.08091743,1416434.364,40312.00577,772.1989143,56.15082889,638686.3759,39921.1405,42312.60576,37529.67524,1113.692128
40.78068666,1422.927382,-59.21931334,1408874.393,40144.95834,607.0560994,46.58496931,629088.3024,39918.629,42313.60193,37523.65607,1149.285547
49.72693133,1034.537824,-50.27306867,1414703.974,40135.73989,551.8545652,53.26060172,635259.6666,39938.0645,42331.51515,37544.61385,1171.79158
65.784603,741.5089118,-34.215397,1417075.003,40207.56791,550.0705192,56.69265224,638267.7151,39988.491,42399.31552,37577.66648,1162.667181
58.54487568,683.6569118,-41.45512432,1415721.365,40257.60018,535.093839,56.01456926,635582.1153,40046.0175,42455.91512,37636.11988,1113.334525
49.47119466,623.1383824,-50.52880534,1414008.348,40261.06149,493.3902425,53.75358638,631199.8603,40120.534,42462.0689,37778.9991,1104.943488
46.89387508,612.8358235,-53.10612492,1416720.096,40252.72796,448.3131769,53.09797918,626656.1243,40196.3935,42442.88989,37949.89711,1069.727524
40.05457853,678.3139118,-59.94542147,1416388.988,40215.4309,389.8940152,51.30958751,623624.0777,40335.9565,42113.92965,38557.98335,1069.173416
47.28896301,579.0945,-52.71103699,1417357.484,40214.91878,358.7136006,53.1086738,625541.8645,40429.181,41958.36662,38899.99538,1040.452457
47.13280776,415.7261176,-52.86719224,1417697.54,40213.78828,329.7857703,53.06309732,623565.3802,40507.0555,41807.14362,39206.96738,1015.060853
21.82394844,221.9456471,-78.17605156,1415482.8,40091.33251,230.6853248,45.60663855,620540.3385,40503.907,41815.36282,39192.45118,1017.696507
11.46137133,68.88788235,-88.53862867,1412271.008,39943.80284,125.6436044,43.36979347,616187.7326,40417.0775,41880.56467,38953.59033,997.7974703
39.44862055,-89.28029412,-60.55137945,1415039.257,39903.11046,94.0651215,49.03717125,619297.6218,40334.6745,41778.48812,38890.86088,995.9547939
65.40684041,-182.7981765,-34.59315959,1417594.897,39938.98107,110.8129754,53.15727363,622379.6151,40277.436,41649.95885,38904.91315,993.64088
