Close,date,Stochastic,ADI,EMA,MACD,RSI,OBV,ATR
40211.59,2021-01-09T03:00,47.28896301,1417357.484,40214.91878,358.7136006,53.1086738,625541.8645,1040.452457
40206.44,2021-01-09T04:00,47.13280776,1417697.54,40213.78828,329.7857703,53.06309732,623565.3802,1015.060853
39295.37,2021-01-09T05:00,21.82394844,1415482.8,40091.33251,230.6853248,45.60663855,620540.3385,1017.696507
38984.86,2021-01-09T06:00,11.46137133,1412271.008,39943.80284,125.6436044,43.36979347,616187.7326,997.7974703
39638.61,2021-01-09T07:00,39.44862055,1415039.257,39903.11046,94.0651215,49.03717125,619297.6218,995.9547939
40172.14,2021-01-09T08:00,65.40684041,1417594.897,39938.98107,110.8129754,53.15727363,622379.6151,993.64088
40348.35,2021-01-09T09:00,72.98860219,1416093.015,39993.56359,136.7283256,54.4665796,626033.0305,967.3786743
40376.03,2021-01-09T10:00,74.17958548,1415401.351,40044.55911,157.6823085,54.68086904,629163.3871,947.8866262
40565.77,2021-01-09T11:00,73.31932439,1413669.756,40114.0539,187.4382517,56.20245929,633846.3783,950.2311529
40874.99,2021-01-09T12:00,85.6024374,1415994.25,40215.51204,233.2823866,58.63967225,636578.5795,918.2482134
41051.65,2021-01-09T13:00,92.61988369,1417416.487,40326.9971,280.6342031,60.0088596,640397.237,891.4376267
40819.01,2021-01-09T14:00,78.91015038,1414902.543,40392.59882,295.9769173,57.31794235,636529.4558,876.3349391
40525.15,2021-01-09T15:00,67.86278195,1414443.676,40410.27231,281.1827827,54.02259514,633165.0226,867.5253006
39995.1,2021-01-09T16:00,47.93609023,1411774.624,40354.91601,224.1043834,48.59549711,629222.9275,861.3420648
40421.4,2021-01-09T17:00,63.96240602,1412766.585,40363.78054,210.8377814,52.71023831,631428.5805,842.776203
40650.01,2021-01-09T18:00,72.55676692,1413222.219,40401.94447,216.2777053,54.79975906,633537.7452,809.9093314
40665.91,2021-01-09T19:00,73.15451128,1413142.405,40437.13987,219.3434268,54.9488571,635401.8877,781.3872363
40606.22,2021-01-09T20:00,70.91052632,1414875.578,40459.68389,214.4841098,54.22571174,632071.2359,777.8374337
40718.8,2021-01-09T21:00,68.35061317,1416661.159,40494.2327,217.2134299,55.41743748,634505.0453,741.6940456
40281.09,2021-01-09T22:00,27.27266711,1415707.591,40465.81368,181.9593824,49.97020672,632531.793,733.2494709
40088.22,2021-01-09T23:00,14.50827267,1414585.935,40415.46785,136.8794377,47.74328709,629276.2573,715.5959373
40581.48,2021-01-10T00:00,47.15287889,1415993.656,40437.60281,139.3488891,53.45612424,631973.4092,710.882656
41141.56,2021-01-10T01:00,84.21972204,1418301.33,40531.46376,184.3743694,58.94445669,636272.5617,724.3874663
40945.28,2021-01-10T02:00,71.22964924,1417813.103,40586.63926,201.8919466,56.43302226,633918.709,696.3005044
40316.64,2021-01-10T03:00,29.62541363,1415781.272,40550.63936,163.167861,49.20239807,631441.4205,699.5076113
40342.46,2021-01-10T04:00,31.96893991,1415945.931,40522.88211,133.02873,49.48866438,634228.4173,688.9920676
40451.84,2021-01-10T05:00,39.35449021,1415837.206,40513.40983,116.6249239,50.75473485,636272.8964,668.7233485
40904.5,2021-01-10T06:00,68.65082437,1417007.831,40565.55519,138.5535097,55.7030949,638467.8093,672.6188236
40978.57,2021-01-10T07:00,73.86302064,1418220.984,40620.62383,160.0637862,56.47382483,640611.2716,653.5560505
40798.29,2021-01-10T08:00,61.17698386,1418264.349,40644.31265,160.7111677,54.01063429,638195.3403,641.0163326
40768.48,2021-01-10T09:00,59.07929829,1416209.287,40660.8683,157.0089034,53.59437007,635552.3815,618.6580231
40429.2,2021-01-10T10:00,35.20466684,1416260.133,40629.97919,125.2539225,48.96855697,630407.2948,635.18245
39181.76,2021-01-10T11:00,11.93176279,1410925.817,40436.8833,-0.563614343,36.49589786,621787.9833,699.9237036
39538.57,2021-01-10T12:00,37.53689655,1415358.874,40317.10819,-70.66870886,41.11589651,628717.9202,744.7698676
39800.9,2021-01-10T13:00,46.58275862,1415626.192,40248.28043,-103.8624016,44.32298985,632517.2368,741.5298771
39431.59,2021-01-10T14:00,33.84793103,1414390.342,40139.38838,-158.1458657,40.94224082,629317.3227,731.4006002
39671.81,2021-01-10T15:00,45.33264569,1415667.84,40077.04459,-179.7105642,43.93766181,632536.8249,741.4327001
39234.29,2021-01-10T16:00,29.89753208,1413252.972,39964.67731,-229.4598799,39.96206563,629632.7115,729.286793
38571.86,2021-01-10T17:00,35.41874287,1416522.731,39778.96834,-318.6657555,34.82429799,616753.0908,833.4948792
38109.68,2021-01-10T18:00,23.48615895,1415230.583,39556.39656,-421.7939399,31.75657574,610662.4194,852.7238164
37456.77,2021-01-10T19:00,8.726585333,1413051.14,39276.44635,-549.8695951,28.00361044,606429.9168,893.6471152
37718.88,2021-01-10T20:00,43.78751778,1430935.799,39068.77084,-623.0383894,31.50326905,625368.2466,1021.414464
38055.3,2021-01-10T21:00,49.49141773,1433920.193,38933.64139,-646.4272922,35.81574202,633029.3062,1002.952717
38428.23,2021-01-10T22:00,55.76031831,1433938.237,38866.25321,-627.6358366,40.30259839,637768.9747,1013.306808
38150.02,2021-01-10T23:00,52.95292295,1432290.556,38770.75545,-627.9540314,38.15947988,633974.6511,994.9898935
37192.1,2021-01-11T00:00,39.12775339,1430653.219,38560.26805,-697.4624286,31.87457473,626405.7566,1049.900615
37237.66,2021-01-11T01:00,42.40471875,1430470.274,38383.92031,-740.3378689,32.44447168,630621.7531,1055.187
36363.94,2021-01-11T02:00,24.982203,1426212.643,38114.5896,-835.1913008,27.66489551,623825.18,1071.784357
35438.23,2021-01-11T03:00,29.01814749,1429714.495,37757.74166,-973.8346301,23.68391904,605071.8199,1216.511903
35544,2021-01-11T04:00,30.68782401,1434144.042,37462.5761,-1062.922998,25.01169964,614627.0616,1251.043196
34904.73,2021-01-11T05:00,21.1891093,1431078.799,37121.52996,-1171.604391,22.46739304,607528.5644,1263.397967
32872.63,2021-01-11T06:00,4.718054459,1419635.181,36555.00996,-1405.506857,16.66430776,591765.4157,1341.350255
34375.34,2021-01-11T07:00,28.43299288,1428111.758,36264.3873,-1452.872301,30.88154134,604439.587,1402.823809
34275.64,2021-01-11T12:00,26.8901269,1428844.251,35999.22099,-1481.378306,30.50964165,594535.2939,1431.335679
32813.71,2021-01-11T13:00,4.266635716,1417712.58,35574.48619,-1603.451464,25.63468325,581740.9431,1454.097417
33299.12,2021-01-11T14:00,27.69968294,1432695.093,35271.10404,-1642.09771,29.65389325,604961.7257,1539.88403
