date,compound
2021-01-21 19:00:00,11.0364
2021-01-21 20:00:00,12.1017
2021-01-21 21:00:00,1.8902
2021-01-21 22:00:00,6.0727
2021-01-21 23:00:00,7.4124
2021-01-22 00:00:00,7.6379
2021-01-22 01:00:00,9.743
2021-01-22 02:00:00,3.5724
2021-01-22 03:00:00,3.2268
2021-01-22 04:00:00,3.4771
2021-01-22 05:00:00,3.6538
2021-01-22 06:00:00,-0.5030999999999999
2021-01-22 07:00:00,3.7016
2021-01-22 08:00:00,-0.013599999999999501
2021-01-22 09:00:00,3.2947
2021-01-22 10:00:00,6.3245000000000005
2021-01-22 11:00:00,-1.9858
2021-01-22 12:00:00,1.4632999999999998
2021-01-22 13:00:00,5.8329
2021-01-22 14:00:00,8.3768
2021-01-22 15:00:00,5.668
2021-01-22 16:00:00,1.0940000000000003
2021-01-22 17:00:00,8.9329
2021-01-22 18:00:00,2.6300999999999997
2021-01-22 19:00:00,7.3887
2021-01-22 20:00:00,12.4359
2021-01-22 21:00:00,0.6313000000000003
2021-01-22 22:00:00,2.2563
2021-01-22 23:00:00,1.7279
2021-01-23 00:00:00,3.9008
2021-01-23 01:00:00,0.6356999999999999
2021-01-23 02:00:00,2.2976
2021-01-23 03:00:00,5.41
2021-01-23 04:00:00,4.7533
2021-01-23 05:00:00,2.0825000000000005
2021-01-23 06:00:00,6.111800000000001
2021-01-23 07:00:00,3.0292000000000003
2021-01-23 08:00:00,5.5386999999999995
2021-01-23 09:00:00,1.3679999999999999
2021-01-23 10:00:00,1.2408
2021-01-23 11:00:00,7.8666
2021-01-23 12:00:00,2.976
2021-01-23 13:00:00,3.9913
2021-01-23 14:00:00,-0.262
2021-01-23 15:00:00,5.0513
2021-01-23 16:00:00,1.7337999999999996
2021-01-23 17:00:00,8.062
2021-01-23 18:00:00,4.366300000000001
2021-01-23 19:00:00,8.5647
2021-01-23 20:00:00,6.4165
2021-01-23 21:00:00,4.3791
2021-01-23 22:00:00,4.7913
2021-01-23 23:00:00,9.654
2021-01-24 00:00:00,4.7288
2021-01-24 01:00:00,7.0553
2021-01-24 02:00:00,4.2822000000000005
2021-01-24 03:00:00,3.6958
2021-01-24 04:00:00,2.6734999999999998
2021-01-24 05:00:00,3.9957
2021-01-24 06:00:00,4.9645
2021-01-24 07:00:00,4.4733
2021-01-24 08:00:00,6.8596
2021-01-24 09:00:00,1.3481
2021-01-24 10:00:00,6.075
2021-01-24 11:00:00,3.5213
2021-01-24 12:00:00,8.175
2021-01-24 13:00:00,4.4322
2021-01-24 14:00:00,0.24370000000000025
2021-01-24 15:00:00,4.4433
2021-01-24 16:00:00,4.1509
